Probe	Gene	c151	c152	c153	c155	c156	c159	c160	c161	c162	c163	c164	c165	c166	c167	c168	c169	c170	c171	c172	c173	c174	c175	c179	c180	c181	c184	c185	c186	c188	c189	c191	c192	c193	c194	c195	c197	c199	c200	c201	c202	c203	c205	c206	c207	c208	d122	d123	d124	d125	d126	d128	d130	d131	d132	d133	d134	d136	d137	d138	d139	d140	d141	d142	d143	d144	d145	d148	d149	d150	u127	u129	u135	u146	u147	u154	u157	u158	u176	u177	u178	u182	u183	u187	u190	u196	u198	u204
cg17409393	ATP9A	0.07188735	0.07911427	0.07518386	0.05513525	0.06655011	0.05559716	0.0597786	0.05436149	0.05534751	0.06044038	0.04375492	0.06337306	0.05135008	0.05787278	0.04891337	0.05248788	0.04343528	0.06396644	0.04874077	0.05615329	0.0486996	0.05299263	0.05532029	0.07505035	0.08985066	0.07212102	0.06534416	0.07212639	0.06178347	0.05488404	0.06577888	0.05779186	0.0505058	0.06799021	0.04884029	0.06160383	0.05721046	0.0783163	0.04678808	0.06747955	0.04821881	0.05456085	0.058274	0.05757173	0.06188373	0.06686002	0.07402867	0.0723028	0.07132365	0.06094627	0.05272081	0.06296603	0.05372414	0.0568477	0.04053818	0.05610107	0.06158631	0.05855479	0.0541837	0.04762616	0.05074537	0.04626695	0.06662554	0.04511616	0.04617176	0.0509274	0.08141907	0.05343606	0.05110284	0.09089203	0.04681595	0.05124483	0.05465964	0.04406196	0.06964504	0.06126482	0.05855025	0.05217391	0.06672429	0.06114043	0.07902867	0.05370941	0.06331864	0.05352396	0.064711	0.1217965	0.04857075
cg18077307	TMEM131	0.5311143	0.5356458	0.614241	0.4838907	0.5968387	0.6260517	0.5643923	0.5164794	0.5223498	0.5366184	0.623305	0.5298513	0.6906484	0.6459014	0.5991862	0.5107893	0.4924901	0.6604714	0.4720842	0.6179191	0.6127227	0.4988527	0.5896494	0.5965446	0.5291768	0.4638962	0.5250013	0.550639	0.582817	0.3953682	0.3786623	0.4792668	0.5511155	0.5729226	0.5799656	0.5966765	0.3782074	0.5853161	0.3665406	0.5843914	0.5632911	0.4006678	0.5109176	0.6050062	0.385966	0.09053095	0.265646	0.3913459	0.2438826	0.2009437	0.3297544	0.2003362	0.1740817	0.2423082	0.2356084	0.228465	0.1303335	0.1020889	0.1878957	0.2574024	0.1154824	0.09305581	0.1421274	0.1594974	0.2496899	0.2344148	0.1431263	0.1907153	0.2081869	0.1379264	0.1837629	0.1918692	0.193256	0.1334942	0.5724927	0.6584583	0.6087998	0.5614313	0.5331312	0.6300677	0.5198887	0.4122647	0.5445911	0.5331517	0.5333946	0.4441531	0.5008071
cg00602811	ZEB2	0.4369257	0.4416044	0.4525574	0.3378873	0.4831575	0.4838522	0.3046307	0.4073841	0.478997	0.4027482	0.3959226	0.4534789	0.5636892	0.6434375	0.4958737	0.4164908	0.3133301	0.4432448	0.429798	0.5371798	0.4334939	0.3750491	0.4375283	0.3680385	0.3973135	0.4273148	0.2844659	0.352373	0.2877895	0.2968048	0.3170103	0.31683	0.3730015	0.4210526	0.3872269	0.4196506	0.3186772	0.364776	0.301274	0.3485954	0.3613133	0.1980949	0.2731059	0.377537	0.2989788	0.6829525	0.6946408	0.6608384	0.6319469	0.6527745	0.6759467	0.6848875	0.6180914	0.5945785	0.659601	0.6873993	0.570808	0.6663523	0.6996805	0.6602467	0.6423895	0.5754386	0.6729361	0.6656361	0.7043167	0.6164277	0.5279062	0.6707495	0.6939806	0.6225137	0.6841453	0.6837975	0.5852146	0.6390486	0.3774201	0.5101056	0.3847269	0.4428787	0.3288569	0.6040504	0.4059194	0.2159041	0.3879299	0.3494185	0.4860309	0.2688391	0.3182669
cg23855901	TSSC1	0.7989452	0.8573863	0.8104562	0.8020734	0.8149362	0.7879491	0.8207636	0.8594057	0.8917598	0.8564255	0.7983368	0.8539776	0.8373415	0.8782349	0.8638617	0.8295852	0.8158894	0.8995907	0.8268054	0.8291759	0.8603633	0.846707	0.853844	0.8143326	0.8881819	0.8258078	0.846934	0.8406384	0.8322877	0.7512013	0.8360277	0.8337272	0.8141401	0.8949471	0.8383372	0.8771437	0.8509723	0.8341109	0.7957868	0.8751952	0.8451288	0.8497177	0.9062226	0.8446904	0.8614883	0.4931848	0.4644685	0.5300289	0.5472891	0.6630422	0.5076573	0.5256162	0.4612651	0.5649987	0.6428316	0.5006211	0.4767789	0.4734492	0.5211473	0.6454231	0.5981183	0.5612279	0.6331514	0.5063049	0.5380819	0.597057	0.654377	0.4432019	0.6037276	0.634138	0.6153727	0.4860934	0.56395	0.5703997	0.7742981	0.8426297	0.8668495	0.8893055	0.8680137	0.8554905	0.7970275	0.7664775	0.8588811	0.8536164	0.8156565	0.8785896	0.8655991
cg05558330	KIF13A	0.8213934	0.8304644	0.8176175	0.8484674	0.7727057	0.8407385	0.8083418	0.8193144	0.8096246	0.828908	0.8495216	0.8340576	0.8382461	0.8374473	0.8582063	0.8545123	0.8378146	0.8362097	0.8441297	0.83424	0.8559331	0.8776051	0.8259872	0.8241897	0.8643304	0.8151368	0.7728236	0.81643	0.823703	0.827232	0.8174172	0.8427268	0.8178052	0.8650991	0.8515249	0.8191744	0.8099074	0.8136753	0.8622611	0.8467851	0.832453	0.8482337	0.8276612	0.8389105	0.8553362	0.8498548	0.8536184	0.8101836	0.7641436	0.7705589	0.8055618	0.8105699	0.8172054	0.8240108	0.8314704	0.7886776	0.8019056	0.8311884	0.811472	0.8199209	0.8333204	0.8435187	0.7992312	0.8485904	0.867184	0.8718758	0.8440024	0.84	0.8641056	0.7673675	0.8109154	0.8027784	0.8376401	0.8382522	0.7928657	0.825672	0.8059585	0.8633171	0.8702137	0.8564177	0.8183283	0.7517973	0.79723	0.829944	0.8158655	0.8463866	0.8556471
cg05374025	GP6	0.3691169	0.6118308	0.451441	0.3533469	0.4083669	0.3600629	0.5709117	0.3721981	0.3984174	0.4513489	0.4833755	0.5281347	0.5952199	0.6308572	0.6439942	0.4639874	0.5642753	0.399173	0.6440398	0.3778273	0.5101808	0.4309916	0.3961502	0.5824457	0.6611317	0.4298685	0.3531906	0.6564023	0.3727046	0.5751676	0.6069483	0.5410628	0.5013334	0.6435214	0.5492244	0.4453999	0.4166667	0.439659	0.4715909	0.6086347	0.3865572	0.2119295	0.3963772	0.4970499	0.5915742	0.1274101	0.2312544	0.1834487	0.1324595	0.1807728	0.4879984	0.1852969	0.394834	0.09958267	0.2000746	0.3070075	0.1462295	0.2739787	0.1815778	0.1546195	0.2160342	0.1106091	0.1644149	0.2288732	0.1837001	0.294338	0.2269102	0.206721	0.1933663	0.2522764	0.1196152	0.2495532	0.1887893	0.1050882	0.5776435	0.3647098	0.4299953	0.3816718	0.5908423	0.4146265	0.3415779	0.3409151	0.2939667	0.3192804	0.649798	0.4470084	0.396546
cg17045539	MSI2	0.7750046	0.8016	0.7619331	0.7936565	0.7616987	0.795823	0.7902735	0.8219453	0.7705231	0.8195128	0.7619485	0.8044168	0.8001474	0.8110505	0.7847028	0.7817613	0.8064739	0.7947257	0.7985736	0.7693475	0.75905	0.8205826	0.8226394	0.8296629	0.8315607	0.8175751	0.74597	0.8058659	0.7852671	0.7962561	0.7629841	0.8019341	0.8152028	0.8425052	0.7564859	0.7639499	0.7773797	0.7805294	0.7565513	0.778134	0.7926934	0.7807128	0.8040599	0.7859587	0.7748979	0.7943839	0.803749	0.7724753	0.7807757	0.7680553	0.8052791	0.8005958	0.852067	0.8000389	0.7858663	0.7763141	0.8132852	0.754687	0.7701128	0.7803424	0.7916707	0.7629857	0.7659156	0.7863858	0.7741719	0.7317107	0.7809373	0.7961905	0.7881643	0.8008426	0.8035758	0.8002419	0.7743843	0.7421584	0.7648667	0.8063067	0.824356	0.7713653	0.7951941	0.7690319	0.8155571	0.7548863	0.7803856	0.7867814	0.7946438	0.7595503	0.7880773
cg26251506	DLX6AS	0.1030664	0.104911	0.1315466	0.09414389	0.1213071	0.112155	0.1019048	0.09935266	0.1230371	0.1012365	0.0866968	0.1431254	0.1024267	0.1506903	0.125396	0.100925	0.1047019	0.1243796	0.126492	0.1211949	0.137191	0.1219444	0.1034596	0.1134855	0.151811	0.1375434	0.1204397	0.1158819	0.1462408	0.1224325	0.1052218	0.1003611	0.1219422	0.1405736	0.06869089	0.1254889	0.1272377	0.12806	0.144571	0.1512841	0.1219161	0.06076067	0.1447394	0.1110712	0.107575	0.09210774	0.09972299	0.1515998	0.1311139	0.1233505	0.09949912	0.08806528	0.1168756	0.1112037	0.09816183	0.1072848	0.09035515	0.1267465	0.1178038	0.09996263	0.1174148	0.105872	0.1425562	0.1044484	0.1154985	0.1065405	0.09904259	0.1032693	0.1064096	0.1300824	0.06838936	0.1400692	0.1053874	0.1045752	0.1225157	0.07599548	0.0884225	0.111893	0.1590172	0.09757957	0.1440324	0.1023762	0.1359034	0.1196816	0.1105548	0.1342201	0.1361043
cg01435643	MCF2L	0.4353653	0.5372186	0.445284	0.3138349	0.4706838	0.3875447	0.4260299	0.441212	0.4748916	0.4543155	0.3625459	0.5576585	0.5421565	0.6347744	0.4737046	0.4444992	0.3175906	0.5114219	0.4963181	0.5043276	0.4957975	0.4277363	0.4685328	0.5221151	0.4725375	0.3575566	0.4256127	0.3928887	0.363435	0.3187208	0.2551457	0.4403119	0.5524805	0.5234687	0.4598632	0.5361255	0.403029	0.4597135	0.3144955	0.4719985	0.4851719	0.2556774	0.35267	0.5070363	0.371576	0.08177078	0.1546789	0.1579105	0.1751842	0.278549	0.2264984	0.2669005	0.1806917	0.1285588	0.1678409	0.264468	0.106412	0.2021896	0.1919594	0.1592941	0.164832	0.1368434	0.302354	0.1109294	0.1370681	0.2337155	0.234843	0.1547766	0.2092529	0.2477161	0.1258831	0.2221509	0.1779775	0.1416746	0.4123264	0.5058514	0.4409899	0.3779686	0.3926759	0.5408909	0.4365118	0.3509297	0.4290485	0.389468	0.4879349	0.3721689	0.3669194
cg06847624	PFN3	0.2583347	0.4141169	0.5550841	0.4278205	0.4603464	0.4229171	0.4733093	0.4451676	0.3436683	0.3655205	0.3445579	0.4040804	0.3312358	0.4929473	0.4755956	0.3718316	0.2784736	0.3455271	0.5055918	0.3788047	0.3432612	0.2857988	0.4168589	0.3822779	0.5913032	0.4604934	0.468217	0.5164689	0.456774	0.5800647	0.2037529	0.4219319	0.3920016	0.4787814	0.4533515	0.4604471	0.508486	0.3997349	0.2122705	0.5387984	0.2404993	0.1455851	0.3184491	0.5027486	0.3566003	0.774527	0.796212	0.9137032	0.9223263	0.7990465	0.8893983	0.7881398	0.7185887	0.835831	0.8123755	0.8459031	0.8534636	0.8080688	0.9110567	0.8517932	0.6747152	0.6710438	0.7609097	0.6574208	0.7726614	0.7169864	0.7650397	0.7300246	0.8659847	0.8244193	0.8302948	0.8801517	0.7879875	0.7327121	0.3800922	0.4680263	0.2740339	0.3678638	0.396924	0.3500588	0.6957229	0.4209598	0.3757422	0.5270515	0.6469739	0.3005059	0.3698651
